X,Y,OBJECTID,TOC,URL,TELEPHONE,XCOORD,YCOORD,INDEXID,SERVICETYPE,ADDRESS,NAME
-118.189659432612757,33.806755960078867,236,Willow St Blue Line Station - Transit Station,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6504047.98119932,1752110.4559623,236,Bike Facility,TRANSIT ROUTE STATION -  BICYCLE RACK & LOCKER,WILLOW ST BLUE LINE STATION
-118.16822261803587,33.763302792432491,237,Shoreline Beach Bike Path Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6510534.03028987,1736285.05565152,237,Bike Facility,BASIC FACILITY -  BICYCLE RACK,SHORELINE BEACH BIKE PATH
-118.104271236832702,33.830409974160993,238,Birdcage Park Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6529997.89927703,1760680.84758501,238,Bike Facility,BASIC FACILITY -  BICYCLE RACK,BIRDCAGE PARK
-118.175293325485214,33.764190808551859,239,Shoreline Beach Bike Path Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6508385.3968346,1736611.90252262,239,Bike Facility,BASIC FACILITY -  BICYCLE RACK,SHORELINE BEACH BIKE PATH
-118.196155090477532,33.819999022433947,240,Wardlow Rd Blue Line Station - Transit Station,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6502084.00276409,1756933.73942691,240,Bike Facility,TRANSIT ROUTE STATION -  BICYCLE RACK & LOCKER,WARDLOW RD BLUE LINE STATION
-118.134116712987577,33.752999697026098,241,Shoreline Beach Bike Path Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6520895.78830035,1732519.86888899,241,Bike Facility,BASIC FACILITY -  BICYCLE RACK,SHORELINE BEACH BIKE PATH
-118.115771934997738,33.782952162818155,244,California State Long Beach Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6526485.07066339,1743413.49798925,244,Bike Facility,BASIC FACILITY -  BICYCLE RACK,CALIFORNIA STATE LONG BEACH
-118.197104473879264,33.860937464758265,245,Los Angeles River Bike Path Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6501824.83994175,1771832.82490414,245,Bike Facility,BASIC FACILITY -  BICYCLE RACK,LOS ANGELES RIVER BIKE PATH
-118.174539233850439,33.791416448743277,248,LBCC PAC Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6508631.81121555,1746519.67342947,248,Bike Facility,BASIC FACILITY -  BICYCLE RACK,LBCC/PACIFIC COAST CAMPUS 
-118.140085457211001,33.780900942968266,249,Recreation Park Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6519095.46925195,1742676.4053831,249,Bike Facility,BASIC FACILITY -  BICYCLE RACK,RECREATION PARK
-118.139453779659931,33.755372101379812,250,Shoreline Beach Bike Path Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6519274.54286073,1733385.46406046,250,Bike Facility,BASIC FACILITY -  BICYCLE RACK,SHORELINE BEACH BIKE PATH
-118.195565203438449,33.768161259121712,254,Civic Center Plaza / City Bikeshare,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6502226.47834882,1738068.22879796,254,Bike Facility,BASIC FACILITY -  BICYCLE RACK,CIVIC CENTER
-118.137976215917007,33.762560532144455,258,Livingston Dr Park,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6519727.29362574,1736000.92270415,258,Bike Facility,BASIC FACILITY -  BICYCLE RACK,LIVINGSTON DR PARK
-118.184029897738839,33.840687308719183,260,Bixby Knolls Center Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6505780.84450175,1764455.7685505,260,Bike Facility,BASIC FACILITY -  BICYCLE RACK,BIXBY KNOLLS CENTER
-118.122170340288974,33.788544287619807,261,Whaley Park Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6524543.15239717,1745450.92898427,261,Bike Facility,BASIC FACILITY -  BICYCLE RACK,WHALEY PARK
-118.202669716718063,33.843696727391361,262,Los Angeles River Bike Path Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6500122.55802935,1765561.85908973,262,Bike Facility,BASIC FACILITY -  BICYCLE RACK,LOS ANGELES RIVER BIKE PATH
-118.183216675285053,33.869959330246203,263,Houghton Park Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6506047.21934038,1775108.12222105,263,Bike Facility,BASIC FACILITY -  BICYCLE RACK,HOUGHTON PARK
-118.189476280412805,33.842350361180436,264,Scherer Park Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6504128.04097037,1765064.06778492,264,Bike Facility,BASIC FACILITY -  BICYCLE RACK,SCHERER PARK
-118.192641147681357,33.808238979840965,268,Veterans Park,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6503143.16926545,1752651.88862985,268,Bike Facility,BASIC FACILITY -  BICYCLE RACK,VETERANS PARK
-118.191137471692102,33.759354813447729,269,Downtown Marina Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6503566.14946079,1734860.72392432,269,Bike Facility,BASIC FACILITY -  BICYCLE RACK,DOWNTOWN MARINA
-118.119688439640001,33.830468080441491,271,Heartwell Park  Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6525315.48653376,1760707.21039002,271,Bike Facility,BASIC FACILITY -  BICYCLE RACK,HEARTWELL PARK 
-118.162906367478968,33.762285880119464,272,Shoreline Beach Bike Path Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6512149.34676507,1735912.31046028,272,Bike Facility,BASIC FACILITY -  BICYCLE RACK,SHORELINE BEACH BIKE PATH
-118.087220687261265,33.818994147388707,273,El Dorado Park Facility,http://www.bikelongbeach.org/welcome/infrastructure,(562) 570-6331,6535172.80523631,1756521.39661223,273,Bike Facility,BASIC FACILITY -  BICYCLE RACK,EL DORADO PARK
